1;1265
2;1370
3;778
4;373
5;353
6;1352
7;1144
8;574
9;342
10;1235
11;977
12;1395
13;1114
14;955
15;624
16;525
17;413
18;678
19;820
20;1117
21;1366
22;429
23;1395
24;1390
25;601
26;1181
27;513
28;725
29;1228
30;764
31;792
32;443
33;1055
34;555
35;612
36;1381
37;1160
38;825
39;1252
40;483
41;489
42;1345
43;498
44;559
45;1316
46;905
47;1222
48;1086
49;1139
50;573
#Bien! Ya tenemos 50
51;1187
52;662
53;1386
54;1399
55;429
56;666
57;470
58;450
59;478
60;948
61;1259
62;790
63;625
64;753
65;956
66;1348
67;1284
68;592
69;942
70;698
71;430
72;565
73;1334
74;590
75;462
76;1265
77;956
78;370
79;1002
80;343
81;801
82;1125
83;857
84;1267
85;787
86;1267
87;351
88;1297
89;806
90;352
91;1173
92;305
93;413
94;1302
95;941
96;914
97;950
98;527
99;771
100;1144
101;1353
102;832
103;1077
104;855
105;1257
106;783
107;1252
108;573
109;727
110;1221
111;1315
112;330
113;1239
114;534
115;693
116;680
117;630
118;551
119;701
120;381
121;1059
122;378
123;674
124;1118
125;1017
126;1015
127;880
128;927
129;937
130;976
131;843
132;644
133;908
134;642
135;886
136;872
137;998
138;1094
139;1121
140;451
141;837
142;641
143;357
144;750
145;627
146;319
147;1280
148;368
149;700
#150!! Que Hype
150;965
151;405
152;327
153;953
154;1327
155;1219
156;848
157;1090
158;1025
159;428
160;1210
161;576
162;668
163;785
164;642
165;1185
166;1354
167;1029
168;626
169;603
170;1091
171;1321
172;946
173;714
174;1365
175;1241
176;1131
177;945
178;662
179;901
180;1383
181;660
182;597
183;764
184;1127
185;859
186;578
187;1347
188;677
189;1385
190;1250
191;483
192;1090
193;857
194;712
195;1143
196;719
197;665
198;1305
199;707
200;1276
201;740
202;901
203;1227
204;1285
205;1124
206;1384
207;1050
208;1291
209;780
210;689
211;1047
212;642
213;519
214;609
215;790
216;799
217;487
218;1018
219;1333
220;459
221;355
222;422
223;1238
224;1007
225;1259
226;592
227;1241
228;832
229;1388
230;408
231;1072
232;1260
233;1345
234;1104
235;724
236;1227
237;1085
238;378
239;996
240;913
241;685
242;300
243;488
244;502
245;794
246;1055
247;643
248;306
249;1202
250;1380
251;1165
252;526
253;1330
254;696
255;612
256;825
257;587
258;877
259;1273
260;940
261;1156
262;522
263;1057
264;1041
265;962
266;518
267;1381
268;1314
269;1301
270;1183
271;1067
272;614
273;904
274;407
275;1127
276;438
277;315
278;696
279;1181
280;1024
281;1094
282;570
283;1147
284;520
285;637
286;961
287;447
288;1400
289;764
290;1030
291;431
#Falta poco...
292;497
293;828
294;1105
295;749
296;808
297;929
298;1315
299;1192
300;811
301;1296
302;523
303;374
304;1225
305;338
306;959
307;1109
308;1068
309;570
310;451
311;617
312;674
313;786
314;808
315;425
316;1240
317;1079
318;644
319;973
320;702
